GeneID	S1768_HCT116wt_normDMSO	S1756_HCT116wt_normDMSO	S1774_HCT116wt_hypoxDMSO	S1762_HCT116wt_hypoxDMSO	S1771_HCT116wt_norm3MB	S1759_HCT116wt_norm3MB	S1777_HCT116wt_hypox3MB	S1765_HCT116wt_hypox3MB	S1769_HCT116cdk8as_normDMSO	S1757_HCT116cdk8as_normDMSO	S1775_HCT116cdk8as_hypoxDMSO	S1763_HCT116cdk8as_hypoxDMSO	S1772_HCT116cdk8as_norm3MB	S1760_HCT116cdk8as_norm3MB	S1778_HCT116cdk8as_hypox3MB	S1766_HCT116cdk8as_hypox3MB
A1BG	9	11	32	30	32	14	57	55	2	4	8	0	7	16	23	23
A1BG-AS1	0	0	1	1	0	0	1	0	1	1	1	2	1	0	1	0
A1CF	12	4	4	0	5	0	2	1	1	3	0	0	3	3	0	0
A2M	2	0	0	7	4	1	1	5	2	0	1	0	0	2	0	1
A2M-AS1	16	17	5	14	18	10	19	17	16	12	2	5	14	14	18	17
A2ML1	0	0	0	0	0	0	3	0	1	1	0	1	2	3	10	2
A2MP1	1	5	0	1	3	0	4	0	0	1	3	0	0	0	0	0
A3GALT2	0	2	0	0	2	1	0	2	3	0	0	0	0	2	0	0
A4GALT	679	644	493	659	805	347	737	646	637	724	299	607	467	632	640	697
A4GNT	2	0	1	0	2	0	0	0	0	0	0	0	0	1	1	3
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	3410	2557	2146	2301	3236	1327	2434	2649	2696	2786	1326	1662	1764	2118	2055	2003
AACS	860	683	756	837	724	365	922	1041	616	741	513	783	425	562	853	805
AACSP1	120	100	101	100	134	87	145	169	133	121	37	136	90	122	115	129
AADAC	100	53	167	160	154	39	212	198	84	64	156	151	116	93	291	208
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AADACL2-AS1	3	0	1	2	2	1	0	1	2	0	0	0	0	1	2	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1
AADACL4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2
AADACP1	95	50	49	93	95	28	90	92	37	34	26	21	72	37	66	36
AADAT	975	716	503	370	1019	383	723	615	668	574	281	348	535	656	656	421
AAED1	837	371	389	490	548	203	497	566	468	415	151	306	248	312	476	326
AAGAB	3814	1972	1479	1514	2647	1143	1648	1988	2711	2382	1321	1719	1841	2103	2468	2135
AAK1	468	905	829	759	1149	352	932	942	1249	1063	468	709	729	817	964	1017
AAMDC	300	121	206	212	180	68	276	205	124	100	90	113	83	102	251	182
AAMP	7933	5228	4804	4843	5868	2470	4996	5537	5659	5951	3327	4776	3852	4371	5462	5024
AANAT	5	2	5	10	4	3	9	12	5	8	1	9	4	6	19	15
AAR2	2299	1499	1015	885	1769	744	1184	1199	1768	1888	590	813	1340	1411	1049	992
AARD	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0
AARS	10905	8580	8894	7839	10922	3841	8315	8854	9301	8663	6470	6537	5388	5747	8692	6916
AARS2	1476	1132	738	779	1415	508	824	837	1375	1281	533	508	810	940	843	687
AARSD1	53	34	46	45	35	15	29	39	56	51	21	47	24	42	14	28
AASDH	795	339	558	538	738	307	671	722	418	337	218	352	392	395	556	451
AASDHPPT	3578	1703	1172	1027	2323	803	1217	1331	1900	1413	387	573	1414	1222	938	702
AASS	422	278	258	337	442	145	346	421	346	289	146	200	237	325	433	389
AATF	5535	3510	3786	4474	4467	1872	3886	4537	3965	3568	2721	3737	2758	2885	4032	3588
AATK	207	222	160	236	220	125	236	202	231	219	89	225	92	174	184	229
AATK-AS1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0
ABAT	353	303	265	340	351	171	372	388	288	277	165	314	209	258	312	316
ABCA1	57	40	40	54	101	37	83	153	27	28	6	18	52	45	66	63
ABCA10	22	9	10	17	15	7	24	16	9	8	2	7	3	6	8	6
ABCA11P	428	248	178	153	366	119	182	253	265	212	138	130	146	154	196	143
ABCA12	63	29	14	23	60	24	45	25	88	72	44	59	134	131	166	125
ABCA13	6	1	4	2	4	8	0	0	2	6	0	0	0	0	5	1
ABCA17P	3	4	15	26	1	1	8	15	5	3	4	2	2	5	8	7
ABCA2	5548	8187	10799	11463	10569	4334	14490	15193	6508	7935	6375	8713	5902	7346	10854	11056
ABCA3	338	494	537	617	712	233	785	888	318	264	202	164	328	368	539	415
ABCA4	17	18	15	27	10	21	10	21	2	11	6	4	8	9	10	7
ABCA5	446	180	477	377	492	108	431	572	261	158	241	259	222	175	454	319
ABCA6	1	1	8	6	5	2	7	6	3	3	0	3	5	1	0	1
ABCA7	3131	3602	4705	4798	4708	1669	5952	6452	2394	2582	2648	2930	2087	2520	4712	4102
ABCA8	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	4
ABCA9	5	4	1	2	2	0	3	7	1	2	3	2	1	1	6	1
ABCB1	131	65	72	54	108	36	47	74	25	31	7	6	18	23	29	12
ABCB10	1451	987	544	380	1182	498	562	549	1162	979	272	325	899	785	490	415
ABCB11	0	0	3	0	0	0	1	1	1	1	0	0	0	0	0	1
ABCB4	4	1	0	1	3	0	1	0	1	0	2	0	2	1	2	0
ABCB5	4	1	1	2	0	0	1	0	0	1	1	0	0	0	0	0
ABCB6	1000	920	1752	1617	1191	465	1627	1543	578	567	862	746	466	521	1069	771
ABCB7	1473	720	1192	1138	1149	323	1117	1188	946	680	874	1043	629	670	1278	949
ABCB8	2147	1984	1699	1514	2530	824	1633	1635	1976	1893	1107	1300	1318	1348	1337	1285
ABCB9	537	483	665	730	657	243	640	1075	376	440	196	369	269	345	522	516
ABCC1	2756	4999	4577	5466	5854	2186	5592	6553	5779	5468	3052	4445	4417	4664	5858	5529
ABCC10	847	979	710	646	1062	439	864	821	980	926	443	542	777	863	715	714
ABCC11	14	10	21	24	11	5	38	25	20	17	17	18	24	24	63	22
ABCC12	3	0	2	0	6	6	2	2	2	4	1	0	0	1	2	2
ABCC13	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	1
ABCC2	7193	6532	2011	1993	6193	2782	2729	2524	7215	6612	957	1031	6785	6906	3800	2379
ABCC3	939	1079	1930	1960	1681	699	3056	3493	1201	1135	1414	1568	1649	1869	3867	2736
ABCC4	2389	1298	1241	1071	1950	717	1345	1217	1721	1406	624	695	1359	1222	894	703
ABCC5	1137	947	561	616	1237	477	819	760	794	717	214	196	649	637	449	441
ABCC5-AS1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0
ABCC6	62	60	71	48	85	36	93	92	19	21	5	14	15	23	8	21
ABCC6P1	0	2	1	2	2	1	0	2	1	0	0	1	0	2	4	1
ABCC6P2	1	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0
ABCC8	8	2	4	3	5	1	5	3	2	5	0	3	0	3	2	1
ABCC9	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1
ABCD1	314	514	386	537	684	220	508	789	378	410	113	173	292	361	276	331
ABCD2	7	0	0	0	3	1	0	0	2	1	0	0	3	2	0	4
ABCD3	3736	1941	1195	1217	2739	926	1271	1361	2262	1730	690	818	1502	1519	1311	987
ABCD4	1365	1105	1108	1147	1483	635	1590	1664	985	1015	604	660	874	993	1217	1097
ABCE1	7691	3408	2783	2238	4814	1471	2009	2164	5058	3326	1908	2186	3091	2784	2979	1958
ABCF1	3774	3145	2102	2116	3425	1415	2387	2408	3447	3248	1283	2025	2284	2144	2166	1795
ABCF2	6957	4751	2012	1609	4974	1997	1827	1949	5810	5517	1148	1499	3312	3515	1796	1454
ABCF3	3395	2205	1762	1665	3039	1080	2064	1912	2931	2741	1013	1207	2257	2166	1791	1540
ABCG1	45	79	77	81	133	53	112	105	26	39	9	8	38	47	31	22
ABCG2	149	81	16	50	99	22	20	33	88	97	17	19	94	100	58	49
ABCG4	147	173	84	97	213	80	97	102	81	102	22	34	63	119	41	41
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCG8	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1
ABHD1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0
ABHD10	9720	4789	5496	4990	7731	2686	5356	5393	8049	5802	4226	4762	6841	6271	7845	5342
ABHD11	3144	2122	1725	1755	2790	1009	1672	1697	2361	2585	1250	1874	1970	2209	2370	1829
ABHD12	2189	1507	994	986	1891	793	1220	1394	1562	1482	600	914	1240	1301	1256	1216
ABHD12B	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	894	405	254	248	524	187	271	317	502	390	160	167	323	346	256	228
ABHD14A	442	297	222	240	296	161	334	317	292	323	210	203	287	283	427	282
ABHD14A-ACY1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	2779	2786	3186	4272	3510	1600	4954	6136	3601	3543	2745	4380	3256	4018	6643	6447
ABHD15	660	538	273	300	709	266	435	457	725	688	84	158	663	642	389	365
ABHD16A	1609	1179	984	1083	1238	489	1081	1213	1241	1235	864	827	791	1028	1073	930
ABHD16B	0	3	0	0	2	0	3	0	1	0	0	0	0	2	0	0
ABHD17A	1135	420	669	413	725	190	714	451	667	427	402	347	402	394	511	377
ABHD17B	865	411	344	356	588	197	398	358	518	460	256	305	457	402	435	439
ABHD17C	1132	1037	610	706	1381	584	734	836	1678	1712	830	1433	1223	1394	1667	1479
ABHD2	1981	1925	1920	1800	2553	865	2126	2350	2117	1846	1405	1650	1505	1580	1907	1797
ABHD3	2126	1172	1085	1023	1843	670	1385	1448	1961	1461	1304	1504	1754	1710	3562	2349
ABHD4	432	358	725	742	597	182	831	1076	366	364	491	552	284	324	746	805
ABHD5	1100	574	334	296	836	319	417	390	753	561	210	269	532	529	553	350
ABHD6	839	526	265	251	787	321	404	450	519	484	72	142	435	467	190	174
ABHD8	374	244	275	260	295	120	250	321	223	248	99	136	299	218	334	180
ABI1	2141	1262	1654	1590	1538	636	1797	1967	1534	1279	1268	1463	1083	1100	1877	1607
ABI2	3441	2567	3389	3648	3855	1328	4175	4546	2183	1909	1572	1880	1732	1681	2696	2122
ABI3	3	4	6	2	4	2	3	2	1	1	1	0	0	5	0	2
ABI3BP	7	7	1	6	6	1	3	6	7	4	0	0	3	3	1	1
ABL1	2787	3442	2895	3354	3840	1475	3385	3837	3280	3208	1717	2407	2132	2516	3029	2738
ABL2	1473	1104	2338	2251	1701	567	2741	2624	1416	1117	1812	2065	1068	1025	2575	2143
ABLIM1	7471	5280	5498	5806	6897	2663	7064	7132	4820	3881	2801	3274	3073	2886	4599	3955
ABLIM2	239	199	153	210	302	136	281	230	217	209	51	116	207	237	195	184
ABLIM3	777	717	936	1132	1115	362	1444	1476	797	772	867	1061	762	825	1581	1294
ABO	49	16	9	12	24	2	10	13	0	0	0	2	0	0	1	3
ABR	2732	2803	2918	3296	3840	1441	4041	4167	2431	2376	1201	1648	1790	1774	2188	1926
ABRA	4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
ABRACL	2685	1200	901	873	1529	592	1019	1021	1535	1334	756	958	1107	1130	1373	998
ABT1	3245	1927	1788	1757	1827	876	1883	1809	1969	1893	829	1235	1139	1263	1430	1233
ABTB1	819	530	966	940	946	292	1540	1442	432	400	353	526	489	503	923	687
ABTB2	527	635	999	1151	794	321	871	1146	746	846	1248	1316	548	539	992	987
AC093375.1	114	65	111	172	127	37	107	206	46	62	131	231	70	104	309	279
ACAA1	2885	1733	1771	1676	2266	952	1936	2148	2022	1970	1812	2216	1724	1748	2813	2361
ACAA2	1262	556	909	930	923	281	1032	950	641	489	613	750	479	496	1212	830
ACACA	9388	8114	6229	6480	8567	3478	6247	7273	8306	7813	4248	5532	5364	6091	8598	7769
ACACB	470	559	320	417	756	291	618	682	392	421	100	158	312	425	337	332
ACAD10	951	991	830	861	1039	440	1282	1162	1044	1064	603	746	994	1179	1398	1235
ACAD11	122	49	138	140	129	50	184	225	67	83	78	89	107	77	211	207
ACAD8	1092	762	491	401	994	429	550	581	1022	950	274	365	647	794	580	426
ACAD9	2988	1824	1281	1125	2064	855	1386	1296	2071	2071	815	1189	1288	1443	1061	1146
ACADL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	3225	1572	1225	1275	2146	856	1021	1470	1651	1194	538	666	960	1101	1120	915
ACADS	1961	1165	1372	1164	1608	581	1398	1523	1061	1106	470	656	1092	1026	1339	956
ACADSB	1877	1006	873	834	1538	635	1127	1193	1120	802	431	450	793	963	971	823
ACADVL	7890	7940	12056	12622	8981	4327	13859	15776	7586	8564	10081	11679	6183	7914	14660	13316
ACAN	0	1	1	0	0	0	0	1	3	1	1	0	0	0	0	3
ACAP1	62	27	254	336	30	16	258	264	34	33	172	235	12	25	261	187
ACAP2	2628	1448	2285	2088	2853	829	2499	2482	2038	1321	1609	1853	1669	1563	3140	2284
ACAP3	1439	1578	1164	1091	2037	791	1725	1664	1108	1285	526	596	993	1148	1083	773
ACAT1	5652	2775	2433	2415	3465	1319	2526	2582	3342	2569	1419	1994	2086	2193	2290	1682
ACAT2	3432	1535	2008	1694	1855	738	1679	1759	1725	1651	1839	2214	1077	1324	2828	2437
ACBD3	2309	1132	2748	2766	1831	594	2478	2954	1698	1287	2561	2781	1062	1204	3465	3107
ACBD4	298	268	363	446	437	192	485	592	200	191	163	243	221	326	637	484
ACBD5	1426	765	928	824	1143	415	1038	1063	1017	728	479	632	805	739	1088	725
ACBD6	2711	1427	1143	1486	1769	754	1467	1511	1755	1553	548	886	1187	1423	1422	1116
ACBD7	231	156	159	161	236	121	218	220	77	73	61	58	54	75	96	53
ACCS	171	262	224	249	379	167	351	364	219	205	101	175	340	326	404	320
ACCSL	4	1	3	8	1	1	5	6	3	4	2	15	1	2	24	4
ACD	1668	1708	1177	1074	2044	726	1423	1484	1313	1533	727	655	1148	1226	1125	953
ACE	192	263	213	299	378	128	476	437	180	230	118	165	259	284	373	350
ACE2	0	0	0	0	0	0	0	0	2	1	0	1	1	1	2	0
ACER1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ACER2	123	67	56	79	189	72	128	131	163	119	37	25	142	153	132	142
ACER3	941	555	569	601	746	275	698	836	527	457	410	429	367	412	567	568
ACHE	60	73	94	113	82	33	87	95	36	68	70	53	56	72	134	169
ACIN1	7276	6379	7097	6775	7338	2691	6939	7323	6858	5914	5095	6511	4245	4330	6411	6014
ACKR1	0	0	0	0	0	1	0	1	0	0	3	0	4	0	0	0
ACKR2	10	4	0	14	5	5	7	15	10	7	2	1	7	7	9	3
ACKR3	1	1	1	0	0	0	0	1	1	1	0	1	0	2	2	0
ACKR4	6	6	2	1	6	2	1	1	7	6	5	0	1	4	2	2
ACLY	11621	11870	12498	13327	11876	4825	12301	14769	10730	11232	8871	10915	6745	7613	13114	13450
ACMSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACN9	1237	460	582	413	751	322	517	534	784	613	313	512	581	538	689	395
ACO1	2884	1813	2111	2171	2498	937	2278	2753	2012	1924	1109	1687	1348	1530	2185	1896
ACO2	7663	4087	5771	4640	5824	2058	5534	5112	4976	4327	3920	4884	3840	3928	6096	4799
ACOT1	0	2	0	0	0	4	1	0	0	0	0	0	1	0	0	1
ACOT11	1577	1227	1115	1249	1660	678	1585	1706	1602	1598	867	1065	1213	1127	1618	1510
ACOT12	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0
ACOT13	2141	902	941	728	1354	514	952	813	1217	1004	502	662	964	874	1096	705
ACOT2	1	0	2	0	1	0	2	3	0	0	0	0	1	0	0	0
ACOT4	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1
ACOT6	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0
ACOT7	8928	4782	4572	3568	6679	2434	4638	4598	4808	4765	2375	3259	3426	3276	3936	3507
ACOT8	1004	543	758	907	767	294	958	1106	524	541	449	671	429	476	861	737
ACOT9	2730	1511	1912	1641	1979	802	1960	1678	1663	1388	1148	1662	1117	1146	2000	1512
ACOX1	2431	1262	1672	1480	2325	747	1761	1580	2090	1546	1562	1879	1700	1481	2496	2004
ACOX2	704	338	289	261	504	216	539	540	284	196	111	106	266	221	210	202
ACOX3	791	517	548	573	732	356	641	666	540	604	371	410	453	528	541	489
ACOXL	190	137	126	142	174	79	159	168	144	156	102	84	113	121	161	154
ACP1	6144	2743	3364	2998	4109	1520	3543	3230	3997	3527	2705	3098	2700	2833	4288	3258
ACP2	975	1032	249	275	945	437	363	294	961	1071	117	121	574	677	179	251
ACP5	0	1	0	0	0	0	0	2	2	0	0	2	0	0	0	0
ACP6	726	566	500	545	706	361	693	851	526	569	190	330	484	686	735	631
ACPP	11	19	1	16	9	2	19	28	5	6	0	3	3	6	7	0
ACPT	0	0	0	1	2	0	0	0	0	1	1	0	1	0	0	1
ACR	23	35	23	33	53	31	45	35	20	31	11	23	33	41	47	35
ACRBP	10	31	40	31	20	7	86	77	23	20	18	23	21	36	74	44
ACRC	30	17	29	25	33	10	40	38	25	26	10	11	29	20	26	23
ACRV1	1	1	0	3	0	0	2	0	5	0	0	4	0	0	0	2
ACSBG1	24	17	18	9	24	10	23	18	11	9	0	5	4	11	8	10
ACSBG2	20	15	11	20	20	13	19	27	4	11	2	1	10	13	2	24
ACSF2	1065	957	900	980	1112	425	1281	1173	945	964	569	897	941	1112	1481	1360
ACSF3	2582	2200	1301	1424	2548	1074	1547	1804	2224	2732	720	1015	1702	1981	1611	1462
ACSL1	1196	743	774	702	981	388	838	983	1021	952	542	798	659	820	1678	1190
ACSL3	7296	4820	3866	4417	4729	1860	3347	4642	3685	2960	2316	2748	1967	1919	3755	3059
ACSL4	3202	1804	2895	2911	2190	754	1844	2850	1607	1196	2149	2657	1062	1085	3107	2484
ACSL5	11119	8109	6170	5564	7977	3710	6804	6867	11043	8613	4257	4822	7139	6921	7308	6021
ACSL6	66	60	48	39	70	47	52	82	33	36	15	23	33	60	45	28
ACSM1	5	9	7	2	3	3	10	5	5	7	2	4	8	13	11	23
ACSM2A	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1
ACSM2B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	508	235	197	255	407	165	288	325	489	536	193	301	526	687	537	433
ACSM4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	1	1	0	0	0	0	0	0	0	0	2	1	1	2	0	0
ACSS2	1492	1272	3653	3918	1481	601	3619	4823	1134	1077	4868	4590	802	1131	7070	6526
ACSS3	0	0	0	0	0	0	3	1	1	0	2	0	0	1	0	0
ACTA1	290	160	515	490	350	125	541	530	248	233	533	542	202	155	752	447
ACTA2	223	166	313	288	288	87	433	565	294	238	294	436	378	377	948	969
ACTB	53690	41651	69966	66548	62169	18271	74280	65720	48685	48572	76239	89616	41038	38616	111213	89343
ACTBL2	12	3	13	7	5	1	5	12	3	3	2	8	2	2	10	11
ACTC1	240	151	553	418	326	92	545	333	324	189	517	549	147	115	743	456
ACTG1	248848	152694	505072	464223	271549	75497	514739	453366	203774	187718	510137	558637	150934	143834	614475	471529
ACTG1P4	1411	1220	2295	2542	1346	416	2671	3457	1095	1258	2679	3392	738	1078	2780	2674
ACTG2	121	47	217	143	160	42	236	163	113	74	226	215	84	64	347	131
ACTL10	1	3	1	0	2	3	0	0	0	0	5	0	0	1	0	0
ACTL6A	3210	1619	1335	1264	2084	873	1437	1386	1769	1526	737	997	1158	1210	1302	977
ACTL6B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTL7A	9	1	5	14	5	1	10	8	2	7	4	9	2	1	8	10
ACTL7B	4	2	2	0	0	1	2	0	0	2	0	0	0	2	1	0
ACTL8	43	20	20	8	20	13	15	19	45	40	7	22	22	29	16	40
ACTL9	0	0	0	0	3	0	1	0	0	0	2	1	2	0	0	0
ACTN1	6999	7563	8782	9255	9175	3476	10063	10290	8264	8289	7348	9288	6207	6829	12195	11558
ACTN1-AS1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	2
ACTN2	33	32	38	25	40	13	65	31	35	32	37	38	43	34	71	49
ACTN3	31	23	59	40	68	16	53	50	44	44	51	68	37	34	94	98
ACTN4	22651	21192	30571	35279	32445	10759	40491	44178	29238	29345	32180	46231	28265	32503	60913	58736
ACTR10	2115	1132	926	935	1541	661	1045	1098	1409	1129	431	594	920	974	908	643
ACTR1A	6278	4551	2912	2981	5095	2190	2778	3415	4026	4013	1568	1983	2605	2831	2529	2172
ACTR1B	2364	2042	2089	2371	2428	1065	2949	3002	1713	1806	1006	1375	1476	1879	2386	1967
ACTR2	8209	4151	5501	4971	6397	2357	5139	5149	5745	4164	4405	4917	3719	3511	5843	4342
ACTR3	8979	4386	5144	5038	5691	2227	5247	5452	5448	4110	3938	4975	3052	3203	5608	4480
ACTR3B	790	475	387	449	653	277	430	390	760	626	272	442	547	491	508	364
ACTR3BP2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	3	0	0	0	3	0	1	0	0
ACTR3C	27	11	26	15	23	12	16	12	34	23	11	33	9	16	17	13
ACTR5	2311	1652	1444	1346	1982	778	1800	1797	1563	1513	1112	1509	1026	1288	1864	1516
ACTR6	1582	698	1005	868	1139	362	868	1019	896	646	580	754	684	661	1009	714
ACTR8	1640	852	741	603	1225	392	832	787	1073	945	377	498	837	918	829	712
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACTRT2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	99	55	12	10	42	24	8	11	53	73	3	3	33	50	9	6
ACVR1	567	608	648	721	801	259	761	864	628	598	562	586	428	516	814	562
ACVR1B	1953	1572	1240	1381	1974	801	1404	1520	1680	1781	698	984	1202	1509	1466	1255
ACVR1C	120	78	169	201	158	38	209	313	81	67	96	96	75	101	215	238
ACVR2A	470	299	240	229	387	131	334	277	335	239	111	146	267	218	270	160
ACVR2B	1389	947	1640	1592	1542	381	2147	1902	928	700	714	853	798	665	1481	1102
ACVR2B-AS1	26	16	17	19	20	7	20	16	8	18	0	8	21	24	2	2
ACVRL1	59	73	40	38	95	27	54	65	67	99	18	35	102	105	116	82
ACY1	146	78	120	101	104	40	114	108	85	71	40	113	60	73	113	98
ACY3	2	10	8	6	12	2	7	8	1	1	2	1	1	1	0	1
ACYP1	920	362	518	393	681	208	460	470	436	374	297	377	386	336	406	325
ACYP2	234	85	140	115	146	79	174	138	118	76	66	78	93	101	150	128
ADA	1650	806	1209	1201	1322	513	1322	1348	1230	986	1039	1356	1053	1170	1644	1340
ADAD1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ADAD2	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	2
ADAL	265	133	121	113	200	66	92	108	142	120	67	61	152	130	153	109
ADAM10	6125	3567	5383	5391	5244	1903	4459	5636	5549	4301	4456	5241	4616	4744	6748	5366
ADAM11	443	639	267	278	827	451	347	431	393	621	65	110	444	665	250	198
ADAM12	1	0	0	2	0	0	0	1	2	0	0	0	1	2	4	7
ADAM15	7454	6129	6249	6214	7007	2836	6335	7217	4464	4694	3470	4328	3350	3601	4562	4174
ADAM17	2131	1331	2194	2198	2045	700	2102	2200	1950	1520	3017	3551	1347	1276	3296	2578
ADAM18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ADAM19	3148	3630	3349	4656	4842	1974	4729	5569	3717	2991	2778	3746	2269	2755	4072	4067
ADAM1A	130	85	34	22	122	57	71	46	120	100	26	13	150	102	61	37
ADAM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAM20	5	0	1	1	0	0	0	3	7	1	0	2	1	0	2	3
ADAM20P1	8	3	10	3	3	2	5	6	6	1	5	8	3	2	12	7
ADAM21	97	42	16	31	68	15	23	37	62	72	8	7	33	57	19	26
ADAM21P1	18	5	7	1	8	10	9	4	11	14	10	2	17	9	2	4
ADAM22	939	646	563	563	878	315	654	722	554	474	207	364	646	518	738	678
ADAM23	7	1	8	4	4	4	3	14	4	3	2	3	2	3	7	7
ADAM28	5	3	5	2	4	2	6	3	2	1	1	3	1	3	5	3
ADAM29	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAM32	50	28	47	24	51	16	39	44	36	20	58	57	16	18	43	38
ADAM33	0	1	0	0	0	0	3	0	0	1	0	2	0	1	0	2
ADAM3A	0	0	0	0	3	0	0	0	0	0	0	0	1	1	1	0
ADAM5	5	0	0	4	2	0	0	0	0	0	0	1	0	0	0	2
ADAM6	0	0	1	0	1	0	0	0	0	0	1	1	2	0	0	0
ADAM7	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	2
ADAM8	77	119	102	109	142	39	193	160	79	67	33	56	58	101	127	81
ADAM9	9273	5818	8024	9251	8134	3055	9082	11533	5691	4147	6062	7860	4767	4887	10882	9489
ADAMDEC1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAMTS1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ADAMTS10	258	263	227	255	355	156	441	500	195	246	89	165	233	323	370	328
ADAMTS12	1	0	2	1	2	1	0	1	0	1	1	1	0	1	0	0
ADAMTS13	326	541	601	740	670	250	1144	1338	315	381	371	506	510	711	1409	1093
ADAMTS14	2468	2704	1730	2122	2658	1134	2125	2473	1819	1939	1089	1535	1058	1414	1294	1525
ADAMTS15	64	45	13	24	75	32	53	45	26	33	1	4	20	28	26	40
ADAMTS16	68	58	194	251	100	38	269	342	38	45	82	129	69	72	127	132
ADAMTS17	121	125	74	55	253	34	103	82	155	172	89	127	166	156	116	88
ADAMTS18	0	0	0	1	0	0	1	1	0	0	0	0	1	2	0	5
ADAMTS19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS2	200	218	271	298	310	128	467	371	222	278	187	321	241	284	457	415
ADAMTS20	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
ADAMTS3	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0
ADAMTS4	7	4	1	0	0	0	1	2	1	2	0	4	1	1	1	5
ADAMTS5	1	0	1	3	1	0	2	0	5	1	0	0	1	0	1	1
ADAMTS6	43	49	20	8	59	22	32	46	33	39	7	5	32	48	22	32
ADAMTS7	549	723	667	630	982	383	725	810	777	859	501	552	978	1119	1034	1054
ADAMTS7P1	5	1	1	3	7	0	5	6	2	4	1	6	9	4	6	4
ADAMTS8	3	2	2	1	2	0	2	1	1	2	1	1	0	0	3	1
ADAMTS9	0	1	1	1	2	0	0	1	0	0	0	0	0	0	0	2
ADAMTS9-AS2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ADAMTSL1	0	0	1	2	1	1	1	0	1	0	0	0	0	0	1	1
ADAMTSL2	2	2	1	3	1	0	2	1	0	1	0	0	1	2	0	0
ADAMTSL3	1	1	2	3	2	0	0	1	2	1	2	7	0	3	1	5
ADAMTSL4	41	104	186	194	147	59	303	258	35	42	60	82	45	70	127	99
ADAMTSL4-AS1	3	13	14	9	8	2	13	5	5	6	12	3	5	5	5	0
ADAMTSL5	619	683	542	664	873	359	779	845	515	513	340	357	381	474	468	411
ADAP1	1605	1140	1757	1621	1482	532	1746	1804	1437	1593	1243	1596	1379	1508	2259	1856
ADAP2	599	433	385	350	503	211	354	400	434	397	91	193	301	342	322	222
ADAR	11129	10701	9617	9683	13505	5036	10890	10932	11534	10165	6816	8105	7850	8748	10242	8980
ADARB1	812	888	988	1205	1201	388	1378	1437	1012	973	686	946	886	918	1303	1199
